Country ID,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Latest Year,"CO2 emissions, latest year
268,Georgia,35520,28131.8,17119.4,9775.3,6525.8,4560.4,7491.1,8480,8480,8480,3705.2,3875,3681,3931,4844,5045,6233,7160,7062,6562,6634.73,9151.01,9786.39,9478.16,9478.16,9478.16,9478.16,9478.16,9478.16,9478.16,2013,9478.16,-73.32
276,Germany,1052348.54,1014199.72,965889.81,956233.11,939630.28,939176.7,959124.13,931230.07,923275.91,895642.93,899780.2,916366.14,899821.05,900866.41,886965.97,866388.55,877997.39,851383.3,854706.33,790195.72,832669.74,809426.95,813893.12,831316.28,792684.87,795816.36,800510.29,786654.55,755362.34,755362.34,2018,755362.34,-28.22
288,Ghana,2861.8,2377.12,2897.7,3123.85,3243.03,3556.74,3844.07,3977.84,4364.21,4925.45,6297.67,5585.01,5965.42,6410.85,5789.37,6431.14,7847.2,7847.2,7847.2,7847.2,7847.2,7847.2,7847.2,7847.2,7847.2,7847.2,7847.2,7847.2,7847.2,7847.2,2006,7847.2,174.21
300,Greece,83425.55,83401.12,84982.71,84296.37,86442.18,86979.1,89132.01,93820.93,98641.5,97958.38,102999.03,105385.7,105020.96,109089.75,109546.75,113930.97,112472.44,114592.34,111125.24,104354.75,97361.5,94549.58,91430.1,81735.05,78659.8,74957.9,71368.36,74852.85,71797.87,71797.87,2018,71797.87,-13.94
308,Grenada,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,1994,135,0
320,Guatemala,4245.07,4245.07,4245.07,4245.07,10116.47,10116.47,10116.47,10116.47,10116.47,10116.47,10578.65,10578.65,10578.65,10578.65,10578.65,12553.74,12553.74,12553.74,12553.74,12553.74,12553.74,12553.74,12553.74,12553.74,12553.74,12553.74,12553.74,12553.74,12553.74,12553.74,2005,12553.74,195.73
324,Guinea,1580.49,1580.49,1580.49,1580.49,1580.49,1580.49,1580.49,1580.49,1580.49,1580.49,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,2000,1960,24.01
624,Guinea-Bissau,178.61,178.61,178.61,178.61,178.61,178.61,178.61,178.61,178.61,178.61,178.61,178.61,178.61,178.61,178.61,178.61,156.81,156.81,2450.67,2450.67,2450.67,2450.67,2450.67,2450.67,2450.67,2450.67,2450.67,2450.67,2450.67,2450.67,2010,2450.67,1272.08
328,Guyana,1439,1439,1439,1439,1439,1465,1534,1680,1769,1718,1688,2094,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,2004,1657,15.15
332,Haiti,189.1,189.1,189.1,189.1,189.1,923.69,1050.91,1310.79,1347.44,1545.77,1447.66,1447.66,1447.66,1447.66,1447.66,1447.66,1447.66,1447.66,1447.66,1447.66,1447.66,1447.66,1447.66,1447.66,1447.66,1447.66,1447.66,1447.66,1447.66,1447.66,2000,1447.66,665.55
340,Honduras,4085.25,4085.25,4085.25,4085.25,4085.25,4085.25,4085.25,4085.25,4085.25,4085.25,4162.45,4162.45,4162.45,4162.45,4162.45,7201.8,7201.8,7201.8,7201.8,7201.8,7201.8,7201.8,7201.8,7201.8,7201.8,9902.61,9902.61,9902.61,9902.61,9902.61,2015,9902.61,142.4
348,Hungary,73464.85,69784.52,62415.94,63632.76,61973.51,61690.77,63257.52,61813.14,61415,61911.6,58608.27,60238.8,59197,61981.47,60489.92,60606.53,59915.38,58688.63,57530.82,51774.97,52123.68,50322.15,46776.68,43704.81,43862.71,46627.61,47395.71,49684.85,49628.49,49628.49,2018,49628.49,-32.45
352,Iceland,2247.8,2128.41,2274.27,2432.16,2373.3,2476.7,2532.04,2627.51,2647.86,2853.95,2946.47,2875.24,3000.52,2994.55,3116.89,2985.97,3164.4,3512.1,3824.94,3740.18,3660.12,3510.64,3502.89,3492.77,3469.68,3545.26,3497.54,3614.87,3674.53,3674.53,2018,3674.53,63.47
356,India,779348,779348,779348,779348,779348,779348,779348,779348,779348,779348,1024772.86,1024772.86,1024772.86,1024772.86,1024772.86,1024772.86,1024772.86,1024772.86,1024772.86,1024772.86,1574362.16,1574362.16,1574362.16,1574362.16,1574362.16,1574362.16,1574362.16,1574362.16,1574362.16,1574362.16,2010,1574362.16,102.01
360,Indonesia,142688.19,155100.4,165505.55,175681.85,189146.31,189146.31,189146.31,189146.31,189146.31,189146.31,289527.15,289527.15,289527.15,289527.15,289527.15,289527.15,289527.15,289527.15,289527.15,289527.15,289527.15,289527.15,289527.15,289527.15,289527.15,289527.15,289527.15,289527.15,289527.15,289527.15,2000,289527.15,102.91
364,Iran (Islamic Republic of),310645.33,310645.33,310645.33,310645.33,310645.33,310645.33,310645.33,310645.33,310645.33,310645.33,365908.35,365908.35,365908.35,365908.35,365908.35,365908.35,365908.35,365908.35,365908.35,365908.35,365908.35,365908.35,365908.35,365908.35,365908.35,365908.35,365908.35,365908.35,365908.35,365908.35,2000,365908.35,17.79
368,Iraq,60379,60379,60379,60379,60379,60379,60379,60379,60379,60379,60379,60379,60379,60379,60379,60379,60379,60379,60379,60379,60379,60379,60379,60379,60379,60379,60379,60379,60379,60379,1997,60379,0
372,Ireland,32944.33,33674.01,33494.93,33716.18,34838.15,35852.67,37469.15,38805.24,40708.85,42440.08,45249,47607.42,46081.98,45683.97,46166.93,48155.54,47603.94,47665.13,47366.25,42179.54,41747.93,38052.22,38209.59,37235.3,36785.33,38545.33,40029.84,38910.19,38803.39,38803.39,2018,38803.39,17.78
376,Israel,52232.3,52232.3,52232.3,52232.3,52232.3,52232.3,52232.3,52232.3,52232.3,52232.3,61067.82,61067.82,61067.82,62513.59,62438.66,62711.88,63741.57,66567.6,66048.15,63225.75,65088.77,67138.41,72410.99,66290.47,64285.91,66100.38,65191.77,65055.35,64804.64,64804.64,2018,64804.64,24.07
380,Italy,438008.8,437538.6,437829.8,430179.96,424581.72,448332.91,442277.41,448044.94,460049.2,464548.48,468442.09,468642.86,476251.24,494183.29,499619.39,500005.68,495124.2,487693.31,476229.97,422624.19,433688.02,422039.48,401554.71,367568.71,347860.8,360088.18,356556.2,351473.93,348085.03,348085.03,2018,348085.03,-20.53
388,Jamaica,8561.19,8561.19,8561.19,8561.19,8561.19,8561.19,8561.19,8561.19,8561.19,8561.19,8561.19,8561.19,8561.19,8561.19,8561.19,8561.19,11204.47,9854.93,10655.98,7916.63,7283.62,7283.62,7383.89,7383.89,7383.89,7383.89,7383.89,7383.89,7383.89,7383.89,2012,7383.89,-13.75
392,Japan,1158391.31,1170065.73,1179740.1,1172647.31,1227566.84,1239928.16,1251867.57,1245112.03,1205416.32,1242015.31,1264844.26,1250211.05,1279452.96,1287642.18,1282872.08,1290056.28,1266828.61,1302524.28,1231909.52,1162647.87,1214068.56,1264155.13,1305432.85,1314703,1263049.94,1222781.31,1203167.02,1187661.45,1135688,1135688,2018,1135688,-1.96
400,Jordan,13389.43,13389.43,13389.43,13389.43,13389.43,13389.43,13389.43,13389.43,13389.43,13389.43,16308.31,16308.31,16308.31,16308.31,16308.31,16308.31,23136,23136,23136,23136,23136,23136,23136,23136,23136,23136,23136,23136,23136,23136,2006,23136,72.79
398,Kazakhstan,281213.95,271741.01,246741.37,219390.01,185835.33,178207.46,163543.77,155572.21,150541.2,124952.45,148756.16,142923.9,160804.18,178774.59,188475.9,202326.2,221649.32,227961.08,229096.3,224145.63,250896.96,240651.23,246750.44,254547.45,278775.59,288578.12,288421.37,307926.54,319647.41,319647.41,2018,319647.41,13.67
404,Kenya,5511.96,5511.96,5511.96,5511.96,5511.96,7056.88,7056.88,7056.88,7056.88,7056.88,7927.57,7927.57,7927.57,7927.57,7927.57,9281.16,9281.16,9281.16,9281.16,9281.16,13888.3,13888.3,13888.3,13888.3,13888.3,13888.3,13888.3,13888.3,13888.3,13888.3,2010,13888.3,151.97
296,Kiribati,18.56,18.56,18.56,18.56,18.56,18.56,18.56,18.56,18.56,18.56,18.56,18.56,18.56,18.56,29.66,31.23,62.78,67.72,63.78,63.78,63.78,63.78,63.78,63.78,63.78,63.78,63.78,63.78,63.78,63.78,2008,63.78,243.64
414,Kuwait,29524,29524,29524,29524,29524,29524,29524,29524,29524,29524,29524,29524,29524,29524,29524,29524,29524,29524,29524,29524,29524,29524,83921.36,83921.36,83921.36,83921.36,83921.36,83921.36,83921.36,83921.36,2016,83921.36,184.25
417,Kyrgyzstan,20531.57,17598.99,14601.29,11719.26,8668.83,5556.76,5738.89,6543,5519.55,5052.22,4957.14,4728.8,4944.52,5094.63,5319.37,5392.16,5527.55,6504.54,7357.65,6934.51,6363.38,6363.38,6363.38,6363.38,6363.38,6363.38,6363.38,6363.38,6363.38,6363.38,2010,6363.38,-69.01
418,Lao People's Democratic Republic,414.91,414.91,414.91,414.91,414.91,414.91,414.91,414.91,414.91,414.91,1052.19,1052.19,1052.19,1052.19,1052.19,1052.19,1052.19,1052.19,1052.19,1052.19,1052.19,1052.19,1052.19,1052.19,1052.19,1052.19,1052.19,1052.19,1052.19,1052.19,2000,1052.19,153.59
428,Latvia,19504.13,17783.12,14079.83,11818.64,10296.75,9090.31,9170.27,8645.95,8280.69,7695.97,7064.72,7474.39,7502.61,7722.59,7727.76,7806.68,8305.73,8631.99,8192.82,7451.92,8548.88,7805.4,7515.21,7381.99,7182.63,7272.71,7220.75,7222.78,7859.29,7859.29,2018,7859.29,-59.7
422,Lebanon,13602.76,13602.76,13602.76,13602.76,13602.76,13602.76,13602.76,13602.76,13602.76,13602.76,15570.13,15570.13,15570.13,15570.13,15570.13,15570.13,15570.13,15570.13,15570.13,15570.13,15570.13,20656.42,22294.28,23096.54,23096.54,23096.54,23096.54,23096.54,23096.54,23096.54,2013,23096.54,69.79
426,Lesotho,635.98,635.98,635.98,635.98,635.98,635.98,635.98,635.98,635.98,635.98,805.03,805.03,805.03,805.03,805.03,805.03,805.03,805.03,805.03,805.03,805.03,805.03,805.03,805.03,805.03,805.03,805.03,805.03,805.03,805.03,2000,805.03,26.58
430,Liberia,3571,3571,3571,3571,3571,3571,3571,3571,3571,3571,3571,3571,3571,3571,3571,3571,3571,3571,3571,3571,3571,3571,3571,3571,3571,3571,3571,3571,3571,3571,2000,3571,0
438,Liechtenstein,198.97,206.33,206.95,215.03,201.11,204.2,205.96,218.37,229.23,226.56,216.85,214.66,220.01,229.35,229.38,228.97,231.1,200.77,219.51,205.35,190.81,176.78,185.31,192.54,161.24,159.71,149.88,156.28,143.75,143.75,2018,143.75,-27.75
440,Lithuania,35771.82,37851.59,21200.58,16348.05,15788.27,15084.48,15757.63,15182.21,16039.7,13476.96,11873.92,12621.37,12690.01,12679.87,13272.34,14091.08,14408.01,15797.79,15179.16,13022.77,13926.74,14271.08,14330.83,13340.27,13087.47,13297.14,13327.51,13545.85,13669.49,13669.49,2018,13669.49,-61.79
442,Luxembourg,11847.64,12465.79,12232.16,12372.81,11563.93,9170.3,9219.91,8573.11,7695.07,8147.98,8731.57,9226.37,10003.05,10476.02,11844.31,12105.45,11936.28,11333.58,11195.25,10647.82,11219.29,11114.55,10851.4,10303.87,9825.22,9333.17,9080.25,9250.4,9568.52,9568.52,2018,9568.52,-19.24
450,Madagascar,1146.17,1146.17,1146.17,1146.17,1146.17,1146.17,1146.17,1146.17,1146.17,1146.17,1747.4,1747.4,1747.4,1747.4,1747.4,1919.1,1999.3,2098.7,2250.3,2076.4,2057.9,2057.9,2057.9,2057.9,2057.9,2057.9,2057.9,2057.9,2057.9,2057.9,2010,2057.9,79.55
454,Malawi,669.25,669.25,669.25,669.25,719.26,719.26,719.26,719.26,719.26,719.26,719.26,719.26,719.26,719.26,719.26,719.26,719.26,719.26,719.26,719.26,719.26,719.26,719.26,719.26,719.26,719.26,719.26,719.26,719.26,719.26,1994,719.26,7.47
458,Malaysia,52140.59,62312.48,67718.14,73579.68,82935.43,83210.92,97941.99,113400.44,103147.98,113773.33,136987.07,146115.82,152580.96,165746.22,179143.38,192573.72,192109.54,205552.49,209530.04,201065.19,217972.69,205768.03,205768.03,205768.03,205768.03,205768.03,205768.03,205768.03,205768.03,205768.03,2011,205768.03,294.64
462,Maldives,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,1236.97,1305.99,1400.01,1453.55,1476.89,1476.89,1476.89,1476.89,1476.89,2015,1476.89,1044.88
466,Mali,954.61,954.61,954.61,954.61,954.61,954.61,954.61,954.61,954.61,954.61,1562.89,1562.89,1562.89,1562.89,1562.89,1562.89,1562.89,1562.89,1562.89,1562.89,2743.67,2743.67,2743.67,2743.67,2743.67,2743.67,2743.67,2743.67,2743.67,2743.67,2010,2743.67,187.41
470,Malta,2408.46,2255.39,2314.9,2891.13,2669.72,2460.27,2578.45,2586.19,2545.13,2627.59,2545.52,2665.17,2707.48,2979.28,2846.41,2654.26,2665.94,2735.72,2747.13,2532.57,2581.76,2578.07,2762.07,2437.84,2442.4,1735.3,1399.49,1553,1531.58,1531.58,2018,1531.58,-36.41
584,Marshall Islands,80.92,80.92,80.92,80.92,80.92,80.92,80.92,80.92,80.92,80.92,80.92,80.92,80.92,80.92,80.92,97.66,97.66,97.66,97.66,97.66,124.94,124.94,124.94,124.94,124.94,124.94,124.94,124.94,124.94,124.94,2010,124.94,54.4
478,Mauritania,1046.67,1046.67,1046.67,1046.67,1046.67,1046.67,1046.67,1046.67,1046.67,1046.67,1137.07,1137.07,1137.07,1137.07,1137.07,1137.07,1137.07,1137.07,1137.07,1137.07,1137.07,1137.07,1137.07,1137.07,1137.07,1137.07,1137.07,1137.07,1137.07,1137.07,2000,1137.07,8.64
480,Mauritius,2739.8,2739.8,2739.8,2739.8,2739.8,2739.8,2739.8,2739.8,2739.8,2739.8,2289.81,2476.96,2494.53,2661.33,2659.52,2820.25,3482.62,3482.62,3482.62,3482.62,3482.62,3482.62,3482.62,4250.19,4250.19,4250.19,4250.19,4250.19,4250.19,4250.19,2013,4250.19,55.13
484,Mexico,307419.22,318877.87,321246.52,321858.04,346246.67,333784.06,348140.71,365145.08,386249.84,377722.1,407271.27,400547.89,395768.56,403331.35,432780.07,438673.96,454055.33,473765.52,494159.95,475352.59,489865.36,502147.36,504782.35,468240.1,468240.1,468240.1,468240.1,468240.1,468240.1,468240.1,2013,468240.1,52.31
583,Micronesia (Federated States of),235.97,235.97,235.97,235.97,235.97,235.97,235.97,235.97,235.97,235.97,151.99,151.99,151.99,151.99,151.99,151.99,151.99,151.99,151.99,151.99,151.99,151.99,151.99,151.99,151.99,151.99,151.99,151.99,151.99,151.99,2000,151.99,-35.59
492,Monaco,98.23,98.91,104.51,103.6,104.41,101.2,104.71,103.19,102.07,102.77,100.31,100.01,99.74,97.05,91.88,90.31,84.01,82.77,82.35,79.16,77.69,75.01,78.05,78.81,73.89,74.36,74.66,73.05,74.76,74.76,2018,74.76,-23.89
496,Mongolia,13650,12141,10529,9913.2,8665,8141,8978.7,9310.8,9061.1,9061.1,9061.1,9061.1,9061.1,9061.1,9061.1,9061.1,9956.25,9956.25,9956.25,9956.25,9956.25,9956.25,9956.25,9956.25,9956.25,9956.25,9956.25,9956.25,9956.25,9956.25,2006,9956.25,-27.06
499,Montenegro,2491.41,2585.54,2143.69,1691.1,1328.8,504.31,2028.9,1920.68,2335.61,2397.97,2520.74,2140.19,2616.95,2508.47,2510.68,2347.24,2542.47,2483.42,3019.8,2057.47,2836.85,2685.7,2685.7,2685.7,2685.7,2685.7,2685.7,2685.7,2685.7,2685.7,2011,2685.7,7.8
504,Morocco,28364,28364,28364,28364,28364,28364,28364,28364,28364,28364,33550.8,33550.8,33550.8,33550.8,33550.8,33550.8,33550.8,33550.8,33550.8,33550.8,55823.9,55823.9,62103.4,62103.4,62103.4,62103.4,62103.4,62103.4,62103.4,62103.4,2012,62103.4,118.95
508,Mozambique,1083.12,1083.12,1083.12,1083.12,1585.59,1585.59,1585.59,1585.59,1585.59,1585.59,1585.59,1585.59,1585.59,1585.59,1585.59,1585.59,1585.59,1585.59,1585.59,1585.59,1585.59,1585.59,1585.59,1585.59,1585.59,1585.59,1585.59,1585.59,1585.59,1585.59,1994,1585.59,46.39
104,Myanmar,7907.24,7907.24,7907.24,7907.24,7907.24,7907.24,7907.24,7907.24,7907.24,7907.24,7907.24,7516.74,7789.82,8406.63,8935.41,8264.59,8264.59,8264.59,8264.59,8264.59,8264.59,8264.59,8264.59,8264.59,8264.59,8264.59,8264.59,8264.59,8264.59,8264.59,2005,8264.59,4.52
516,Namibia,1826.63,1826.63,1826.63,1826.63,1826.63,1826.63,1826.63,1826.63,1826.63,1826.63,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2000,2018,10.48
520,Nauru,28.32,28.32,28.32,28.32,28.32,28.32,28.32,28.32,28.32,28.32,13.29,13.29,13.29,35.08,35.08,35.08,35.08,17.24,17.24,17.24,37.58,37.58,37.58,37.58,37.58,37.58,37.58,37.58,37.58,37.58,2010,37.58,32.7
524,Nepal,1630,1630,1630,1630,1630,1630,1630,1630,1630,1630,2894.24,2894.24,2894.24,2894.24,2894.24,2894.24,2894.24,2894.24,2894.24,2894.24,2894.24,2894.24,2894.24,2894.24,2894.24,2894.24,2894.24,2894.24,2894.24,2894.24,2000,2894.24,77.56
528,Netherlands,162385.11,170796.38,170630.24,170817.55,171401.37,172966.17,182148.29,175019.63,176136.87,170727.35,171887.44,176798.51,176113.05,179565,181381.77,177459.01,172686.52,172587.18,175481.51,170167.74,182117.94,169065.73,165827.03,165717.88,158768.01,166366.66,166282.09,164444.77,160170.15,160170.15,2018,160170.15,-1.36
554,New Zealand,25446.29,26110.38,28105.07,27699.46,27880.33,28001.81,29295.08,31289.34,29882.78,31472.27,32281.35,34457.44,34638.1,36351.9,35940.11,37571.04,37466.33,36559.88,37592.32,34762.43,34957.78,34249.57,36000.43,35240.94,35457.8,35839.19,34267.62,36153.33,35080.34,35080.34,2018,35080.34,37.86
558,Nicaragua,2728.38,2728.38,2728.38,2728.38,2728.38,2728.38,2728.38,2728.38,2728.38,2728.38,3840.19,3840.19,3840.19,3840.19,3840.19,3840.19,3840.19,3840.19,3840.19,3840.19,3840.19,3840.19,3840.19,3840.19,3840.19,3840.19,3840.19,3840.19,3840.19,3840.19,2000,3840.19,40.75
562,Niger,598.47,598.47,598.47,598.47,598.47,598.47,598.47,598.47,598.47,598.47,1905,1905,1905,1905,1905,1905,1905,1905,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,2008,1800,200.77
566,Nigeria,114815.82,114815.82,114815.82,114815.82,114815.82,114815.82,114815.82,114815.82,114815.82,114815.82,116825,116825,116825,116825,116825,116825,116825,116825,116825,116825,116825,116825,116825,116825,116825,116825,116825,116825,116825,116825,2000,116825,1.75
570,Niue,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.82,4.82,4.82,4.82,4.82,5.54,6.7,8.1,4.84,5.05,5.05,5.05,5.05,5.05,5.05,5.05,5.05,5.05,5.05,5.05,2009,5.05,14.77
807,North Macedonia,10287.59,9576.21,8935.91,9359.09,9041.89,9207.93,8891.52,9632.4,10338.45,9964.61,9571.65,9667.51,10027.43,9368.53,9114.57,9908.92,8977.05,9495.79,9565.18,8929.47,8929.47,8929.47,8929.47,8929.47,8929.47,8929.47,8929.47,8929.47,8929.47,8929.47,2009,8929.47,-13.2
578,Norway,35321.33,33816.46,34734.75,36224.2,38088.99,38707.5,41830.31,41969.98,42220.23,42974.02,42518.55,43866.41,42985.66,44305.68,44622.58,43923.16,44484.78,46231.29,45377.7,43890.03,46231.65,45513.36,45038.31,44982.4,44916.61,45350.5,44472.73,43562.54,43817.66,43817.66,2018,43817.66,24.05
